sitecode,sitename,pass,species,number,sampleid,forkmm,totalmm,weight,kept,sex,stomach,stomachsource,notes,X,X.1
AT,Taylor,1,creek chub,24,,55,NA,2.5,Y,I,"detritus, insects",,pria 5,,
AT,Taylor,1,creek chub,25,,64,69,4,Y,m,detritus,,pria 6,,
AT,Taylor,1,creek chub,26,,39,41,1,Y,I,nothing,,,,
AT,Taylor,1,creek chub,27,,59,62,3,Y,I,nothing,,pria 8,,
AT,Taylor,1,creek chub,28,,64,67,3.5,Y,m,"detritus, insects",,pria 9,,
AT,Taylor,1,creek chub,29,,61,64,3,Y,m,brown goo,,pria 10,,
AT,Taylor,1,creek chub,26,,49,51,2,Y,m,detritus,,p-7,,
AT,Taylor,1,creek chub,30,,42,44,1,Y,,,,p-11,,
AT,Taylor,1,creek chub,31,,35,36,0.5,Y,I,detritus,,p-12,,
AT,Taylor,2,creek chub,32,,68,73,4.5,Y,m,"detritus, insects",,p-13,,
AT,Taylor,2,creek chub,33,,50,51,1.5,Y,I,"algae, insects",,p-14,,
AT,Taylor,2,creek chub,34,,41,45,1,Y,I,detritus,,p-15,,
AT,Taylor,2,creek chub,35,,43,46,1.5,Y,I,"algae, insects",,p-16,,
AT,Taylor,2,creek chub,36,,45,49,1.5,Y,I,"algae, insects",,p-17,,
AT,Taylor,2,creek chub,37,,46,49,1.5,Y,I,insects,,p-18,,
AT,Taylor,2,creek chub,38,,39,41,1,Y,I,insects,,p-19,,
AT,Taylor,2,creek chub,39,,41,44,1,Y,,,,p-20,,
AT,Taylor,2,creek chub,40,,57,60,3,Y,,,,p-21,,
UH,Underhill,M3,creek chub,Five of them,-,NA,90,4,N,,,,length estimated,,9
UH,Underhill,unknown,creek chub,1,UH-S18-212-1,48,50,1.5,N,,,,26,,5
UH,Underhill,unknown,creek chub,10,UH-S18-212-10,42,49,1.5,N,,,,35,,4.9
UH,Underhill,unknown,creek chub,11,UH-S18-212-11,100,107,12,Y,M,Plants/sticks,aquatic,36,,10.7
UH,Underhill,unknown,creek chub,12,UH-S18-212-12,76,80,5,Y,M,algae/plants,aquatic,37,,8
UH,Underhill,unknown,creek chub,13,UH-S18-212-13,82,89,7,Y,M,green plant,unknown,38,,8.9
UH,Underhill,unknown,creek chub,14,UH-S18-212-14,110,118,16,Y,M,algae/plants,aquatic,39,,11.8
UH,Underhill,unknown,creek chub,15,UH-S18-212-15,72,78,4,Y,F,Plants,aquatic,40,,7.8
UH,Underhill,unknown,creek chub,16,UH-S18-212-16,90,97,8.5,Y,M,insects,unknown,41,,9.7
UH,Underhill,unknown,creek chub,17,UH-S18-212-17,82,87,6,Y,M,insects,unknown,42,,8.7
UH,Underhill,unknown,creek chub,18,UH-S18-212-18,97,102,10.5,Y,M,algae,aquatic,43,,10.2
UH,Underhill,unknown,creek chub,19,UH-S18-212-19,92,99,7.5,Y,M,insects/detritus,unknown,44,,9.9
UH,Underhill,unknown,creek chub,2,UH-S18-212-2,44,47,1,N,,,,27,,4.7
UH,Underhill,unknown,creek chub,20,UH-S18-212-20,52,55,1.5,N,,,,74,,5.5
UH,Underhill,unknown,creek chub,21,UH-S18-212-21,48,50,1.5,N,,,,76,,5
UH,Underhill,unknown,creek chub,22,UH-S18-212-22,44,48,1.5,N,,,,79,,4.8
UH,Underhill,unknown,creek chub,23,UH-S18-212-23,44,46,1,N,,,,80,,4.6
UH,Underhill,unknown,creek chub,24,UH-S18-212-24,86,91,7.5,Y,M,Algae,aquatic,83,,9.1
UH,Underhill,unknown,creek chub,25,UH-S18-212-25,75,82,5.5,Y,F,Algae,aquatic,84,,8.2
UH,Underhill,unknown,creek chub,26,UH-S18-212-26,75,80,5,Y,M,Algae,aquatic,85,,8
UH,Underhill,unknown,creek chub,27,UH-S18-212-27,78,83,6,Y,M,Insects,unknown,86,,8.3
UH,Underhill,unknown,creek chub,28,UH-S18-212-28,85,90,7.5,Y,M,Algae,aquatic,87,,9
UH,Underhill,unknown,creek chub,29,UH-S18-212-29,80,86,6,Y,M,Insects,unknown,88,,8.6
UH,Underhill,unknown,creek chub,3,UH-S18-212-3,49,51,1,N,,,,28,,5.1
UH,Underhill,unknown,creek chub,30,UH-S18-212-30,79,85,6.5,Y,M,,,89,,8.5
UH,Underhill,unknown,creek chub,31,UH-S18-212-31,55,59,2,Y,M,,,90,,5.9
UH,Underhill,unknown,creek chub,32,UH-S18-212-32,50,53,2,Y,I,UND,unknown,91,,5.3
UH,Underhill,unknown,creek chub,33,UH-S18-212-33,51,53,1.5,Y,I,"insects, algae, plant",unknown,95,,5.3
UH,Underhill,unknown,creek chub,34,UH-S18-212-34,54,57,1.5,N,,,,98,,5.7
UH,Underhill,unknown,creek chub,35,UH-S18-212-35,62,67,3.5,N,,,,101,,6.7
UH,Underhill,unknown,creek chub,36,UH-S18-212-36,48,51,1,N,,,,106,,5.1
UH,Underhill,unknown,creek chub,4,UH-S18-212-4,49,52,1,N,,,,29,,5.2
UH,Underhill,unknown,creek chub,5,UH-S18-212-5,50,54,1.5,N,,,,30,,5.4
UH,Underhill,unknown,creek chub,6,UH-S18-212-6,51,55,1.5,N,,,,31,,5.5
UH,Underhill,unknown,creek chub,7,UH-S18-212-7,109,117,13,Y,F,Insects,unknown,32,,11.7
UH,Underhill,unknown,creek chub,8,UH-S18-212-8,66,69,3.5,N,,,,33,,6.9
UH,Underhill,unknown,creek chub,9,UH-S18-212-9,53,56,1.5,N,,,,34,,5.6
UH,Underhill,M1,creek chub,1,UH-S18-212-MT-1,105,110,11.5,N,,,,108,,11
UH,Underhill,M1,creek chub,10,UH-S18-212-MT-10,91,97,9.5,N,,,,121,,9.7
UH,Underhill,M1,creek chub,11,UH-S18-212-MT-11,92,95,4.5,N,,,,122,,9.5
UH,Underhill,M1,creek chub,12,UH-S18-212-MT-12,82,86,6,N,,,,123,,8.6
UH,Underhill,M1,creek chub,13,UH-S18-212-MT-13,77,83,5,N,,,,124,,8.3
UH,Underhill,M1,creek chub,14,UH-S18-212-MT-14,73,79,5.3,N,,,,125,,7.9
UH,Underhill,M1,creek chub,15,UH-S18-212-MT-15,89,94,7,N,,,,126,,9.4
UH,Underhill,M1,creek chub,16,UH-S18-212-MT-16,88,92,6.5,N,,,,128,,9.2
UH,Underhill,M1,creek chub,17,UH-S18-212-MT-17,92,99,6.5,N,,,,129,,9.9
UH,Underhill,M1,creek chub,18,UH-S18-212-MT-18,86,91,6.5,N,,,,130,,9.1
UH,Underhill,M1,creek chub,19,UH-S18-212-MT-19,95,99,8.5,N,,,,131,,9.9
UH,Underhill,M1,creek chub,2,UH-S18-212-MT-2,73,76,4,N,,,,110,,7.6
UH,Underhill,M1,creek chub,20,UH-S18-212-MT-20,88,92,8,N,,,,132,,9.2
UH,Underhill,M1,creek chub,21,UH-S18-212-MT-21,96,99,8.5,N,,,,133,,9.9
UH,Underhill,M1,creek chub,22,UH-S18-212-MT-22,79,83,6.5,N,,,,136,,8.3
UH,Underhill,M3,creek chub,23,UH-S18-212-MT-22,51,55,1.5,N,,,,139,,5.5
UH,Underhill,M3,creek chub,24,UH-S18-212-MT-24,44,49,1.5,N,,,,140,,4.9
UH,Underhill,M3,creek chub,25,UH-S18-212-MT-25,52,57,1.5,N,,,,142,,5.7
UH,Underhill,M3,creek chub,26,UH-S18-212-MT-26,48,49,2,N,,,,143,,4.9
UH,Underhill,M3,creek chub,27,UH-S18-212-MT-27,49,52,1.5,N,,,,145,,5.2
UH,Underhill,M3,creek chub,28,UH-S18-212-MT-28,45,48,1,N,,,,147,,4.8
UH,Underhill,M3,creek chub,29,UH-S18-212-MT-29,48,52,1.5,N,,,,148,,5.2
UH,Underhill,M1,creek chub,3,UH-S18-212-MT-3,138,143,32.5,N,,,,113,,14.3
UH,Underhill,M3,creek chub,30,UH-S18-212-MT-30,49,53,2.5,N,,,,149,,5.3
UH,Underhill,M3,creek chub,31,UH-S18-212-MT-31,76,80,4.5,N,,,,150,,8
UH,Underhill,M3,creek chub,32,UH-S18-212-MT-32,50,53,2,N,,,,151,,5.3
UH,Underhill,M3,creek chub,33,UH-S18-212-MT-33,48,51,1.5,N,,,,152,,5.1
UH,Underhill,M3,creek chub,34,UH-S18-212-MT-34,50,53,1.5,N,,,,153,,5.3
UH,Underhill,M3,creek chub,35,UH-S18-212-MT-35,69,72,4.5,N,,,,154,6.9,7.2
UH,Underhill,M3,creek chub,36,UH-S18-212-MT-36,57,61,2,N,,,,155,5.7,6.1
UH,Underhill,M3,creek chub,37,UH-S18-212-MT-37,58,61,2,N,,,,156,5.8,6.1
UH,Underhill,M3,creek chub,38,UH-S18-212-MT-38,63,66,3,N,,,,157,6.3,6.6
UH,Underhill,M3,creek chub,39,UH-S18-212-MT-39,86,90,7,N,,,,158,8.6,9
UH,Underhill,M1,creek chub,4,UH-S18-212-MT-4,110,115,15,N,,,,115,11,11.5
UH,Underhill,M3,creek chub,40,UH-S18-212-MT-40,79,85,6,N,,,,160,7.9,8.5
UH,Underhill,M3,creek chub,41,UH-S18-212-MT-41,64,68,3,N,,,,162,6.4,6.8
UH,Underhill,M3,creek chub,42,UH-S18-212-MT-42,68,71,3,N,,,,163,6.8,7.1
UH,Underhill,M3,creek chub,43,UH-S18-212-MT-43,45,49,1,N,,,,165,4.5,4.9
UH,Underhill,M3,creek chub,44,UH-S18-212-MT-44,53,58,2,N,,,,166,5.3,5.8
UH,Underhill,M3,creek chub,45,UH-S18-212-MT-45,56,59,2,N,,,,167,5.6,5.9
UH,Underhill,M3,creek chub,46,UH-S18-212-MT-46,67,60,1.5,N,,,,168,6.7,6
UH,Underhill,M3,creek chub,47,UH-S18-212-MT-47,48,52,1.5,N,,,,169,4.8,5.2
UH,Underhill,M3,creek chub,48,UH-S18-212-MT-48,48,51,1.5,N,,,,170,4.8,5.1
UH,Underhill,M1,creek chub,5,UH-S18-212-MT-5,103,98,9,N,,,,116,10.3,9.8
UH,Underhill,M1,creek chub,6,UH-S18-212-MT-6,123,126,17.5,N,,,,117,12.3,12.6
UH,Underhill,M1,creek chub,7,UH-S18-212-MT-7,87,90,6,N,,,,118,8.7,9
UH,Underhill,M1,creek chub,8,UH-S18-212-MT-8,112,117,6,N,,,,119,11.2,11.7
UH,Underhill,M1,creek chub,9,UH-S18-212-MT-9,87,92,7,N,,,,120,8.7,9.2
VN,VanDenNest,1,creek chub,1,VN-S18-212-1,100,104,12,Y,F,,,,10,10.4
VN,VanDenNest,2,creek chub,2,VN-S18-212-2,94,100,13,Y,m,algae + bugs,unknown,,9.4,10
WW,Wardsville,1,creek chub,1,WW-S18-212-1,110,117,15.5,Y,m,worm,unknown,P1,,
WW,Wardsville,1,creek chub,2,WW-S18-212-2,42,45,1,Y,I,insects,unknown,P2,,
WW,Wardsville,3,creek chub,3,WW-S18-212-3,59,63,2.5,Y,I,detritus,aquatic,P3,,
WW,Wardsville,3,creek chub,4,WW-S18-212-4,40,42,1,Y,I,algae/detritus,aquatic,P4,,
WW,Wardsville,MT,creek chub,MT1,WW-S18-212-MT1,97,109,12.8,Y,M,small creek chub,aquatic,,,
WW,Wardsville,MT,creek chub,MT2,WW-S18-212-MT2,80,83,6.3,Y,M,insects/detritus,aquatic/detritus,,,
WW,Wardsville,MT,creek chub,MT3,WW-S18-212-MT3,68,73,2.8,Y,,,,,,
WW,Wardsville,MT,creek chub,MT4,WW-S18-212-MT4,76,81,4.7,Y,M,detritus,detritus,,,
WW,Wardsville,MT,creek chub,MT5,WW-S18-212-MT5,54,58,2.7,Y,M,eggs,aquatic,,,
WW,Wardsville,MT,creek chub,MT6,WW-S18-212-MT6,58,62,2.4,Y,M,empty,unknown,,,
WW,Wardsville,MT,creek chub,MT7,WW-S18-212-MT7,52,56,2.3,Y,F,eggs,aquatic,,,
WW,Wardsville,MT,creek chub,MT8,WW-S18-212-MT8,54,58,2.6,Y,M,yellow goo,unknown,,,
WW,Wardsville,MT,creek chub,MT9,WW-S18-212-MT9,46,48,1,Y,I,detritus,detritus,,,
WW,Wardsville,MT,creek chub,MT10,WW-S18-212-MT10,45,49,1,N,M,insects,unknown,,,
WW,Wardsville,MT,creek chub,MT11,WW-S18-212-MT11,42,43,1,N,,,,,,
WW,Wardsville,MT,creek chub,MT12,WW-S18-212-MT12,38,40,1,N,,,,,,
WW,Wardsville,MT,creek chub,MT13,WW-S18-212-MT13,34,38,0.7,N,,,,,,
WW,Wardsville,MT,creek chub,MT14,WW-S18-212-MT14,71.5,75.5,6.3,Y,,,,,,
WW,Wardsville,MT2,creek chub,1,WW-S18-212-MT2,79,85,6,Y,M,,detritus snail,,,
WH,Washington,1,creek chub,1,WH-S18-212-1,145,152,31.5,Y,m,"smb, parasites, veg",aquatic,Ate smb 1 in bucket,145,152
WH,Washington,2,creek chub,10,WH-S18-212-10,NA,28,0.3,N,,,,,-,2.8
WH,Washington,2,creek chub,11,WH-S18-212-11,122,126,24.5,Y,m,couldnt id,unknown,,12.2,12.6
WH,Washington,2,creek chub,16-Dec,WH-S18-212-12<16,NA,NA,0.5,N,,,,BULK,-,-
WH,Washington,2,creek chub,17,WH-S18-212-17,108,113,13.5,Y,m,insects,unknown,,10.8,11.3
WH,Washington,2,creek chub,18,WH-S18-212-18,122,129,23,Y,m,"Larvae, veg",aquatic,,12.2,12.9
WH,Washington,2,creek chub,19,WH-S18-212-19,NA,25,0.3,N,,,,,-,2.5
WH,Washington,1,creek chub,2,WH-S18-212-2,110,113,15,Y,F,veg,aquatic,,11,11.3
WH,Washington,2,creek chub,20,WH-S18-212-20,114,120,17,Y,m,insects,unknown,cant find the sample anywhere,11.4,12
WH,Washington,2,creek chub,21,WH-S18-212-21,120,128,20,Y,F,insects,unknown,,12,12.8
WH,Washington,3,creek chub,22,WH-S18-212-22,120,128,20,Y,m,larvae,aquatic,,12,12.8
WH,Washington,3,creek chub,23,WH-S18-212-23,68,71,4,Y,I,insects,unknown,,6.8,7.1
WH,Washington,3,creek chub,24,WH-S18-212-24,115,122,17,Y,F,parsites,unknown,,11.5,12.2
WH,Washington,3,creek chub,25,WH-S18-212-25,117,124,18.5,Y,m,veg,unknown,,11.7,12.4
WH,Washington,3,creek chub,26,WH-S18-212-26,117,123,20,Y,F,empty,none,,11.7,12.3
WH,Washington,3,creek chub,27,WH-S18-212-27,100,107,11,Y,m,veg,unknown,,10,10.7
WH,Washington,1,creek chub,3,WH-S18-212-3,161.5,168,47,Y,m,insect larvae,aquatic,,16.15,16.8
WH,Washington,1,creek chub,4,WH-S18-212-4,126,132,23.5,Y,F,"bnd, parasitic worms",aquatic,,12.6,13.2
WH,Washington,1,creek chub,5,WH-S18-212-5,83,87,8,Y,m,"parasites, veg, insects",unknown,,8.3,8.7
WH,Washington,1,creek chub,6,WH-S18-212-6,55,58,2.5,Y,m,"Larvae, veg",aquatic,,5.5,5.8
WH,Washington,2,creek chub,7,WH-S18-212-7,161,169,45,Y,m,parasites,unkown,,16.1,16.9
WH,Washington,2,creek chub,8,WH-S18-212-8,104,111,12.5,N,,,,Jumped ship :(,10.4,11.1
WH,Washington,2,creek chub,9,WH-S18-212-9,162,169,46.5,Y,,"Caterpillar, insects, crayfish",both,,16.2,16.9
WA,Watson,1,creek chub,9,WA-S18-212-1,86,92,8,Y,m,insects,unknown,,,
WA,Watson,1,creek chub,10,WA-S18-212-10,81,86,7,Y,,,,,,
WA,Watson,1,creek chub,11,WA-S18-212-11,83,87,7,Y,F,seeds/insects,terrestrial,,,
WA,Watson,1,creek chub,12,WA-S18-212-12,90,94,8.5,Y,,insects/detritus,unknown,,,
WA,Watson,1,creek chub,14,WA-S18-212-13,89,95,8.5,Y,m,empty,none,,,
WA,Watson,1,creek chub,15,WA-S18-212-14,55,58,1.5,Y,,,,kept but not processed,,
WA,Watson,2,creek chub,15,WA-S18-212-15,55,59,2,N,,,,,,
WA,Watson,2,creek chub,16,WA-S18-212-16,60,65,3,N,,,,,,
WA,Watson,2,creek chub,17,WA-S18-212-17,134,141,28,Y,F,stick/detritus,aquatic,,,
WA,Watson,2,creek chub,18,WA-S18-212-18,25,NA,0.3,N,,,,too small + tail damage,,
WA,Watson,2,creek chub,19,WA-S18-212-19,29,31,0.3,N,,,,too small,,
WA,Watson,1,creek chub,1,WA-S18-212-2,28,30,0.5,N,,,,,,
WA,Watson,2,creek chub,20,WA-S18-212-20,148,155,38,Y,m,seeds,terrestrial,,,
WA,Watson,2,creek chub,21,WA-S18-212-21,160,170,54,Y,m,insects/detritus,unknown,,,
WA,Watson,2,creek chub,22,WA-S18-212-22,25,26,0.3,N,,,,too small,,
WA,Watson,2,creek chub,23,WA-S18-212-23,99,104,11,Y,F,parasites,unknown,,,
WA,Watson,2,creek chub,24,WA-S18-212-24,103,107,14,Y,m,detritus/insects,unknown,,,
WA,Watson,2,creek chub,35,WA-S18-212-25,105,110,15.5,Y,m,empty,none,,,
WA,Watson,2,creek chub,26,WA-S18-212-26,115,120,14.5,Y,m,snail/clams,aquatic,,,
WA,Watson,2,creek chub,27,WA-S18-212-27,75,79,5,Y,m,insects,unknown,,,
WA,Watson,2,creek chub,28,WA-S18-212-28,88,94,9,Y,m,detritus,aquatic,,,
WA,Watson,2,creek chub,29,WA-S18-212-29,100,105,11.5,Y,,,,,,
WA,Watson,1,creek chub,2,WA-S18-212-3,25,27,0.3,N,,,,too small,,
WA,Watson,2,creek chub,30,WA-S18-212-30,78,82,6,N,,,,,,
WA,Watson,1,creek chub,3,WA-S18-212-4,25,27,0.3,N,,,,too small,,
WA,Watson,1,creek chub,4,WA-S18-212-5,177,187,69.5,Y,m,insects,unknown,,,
WA,Watson,1,creek chub,5,WA-S18-212-6,129,139,28,Y,F,lady beetles,terrestrial,,,
WA,Watson,1,creek chub,6,WA-S18-212-7,96,102,11,Y,m,insects,unknown,,,
WA,Watson,1,creek chub,7,WA-S18-212-8,96,101,12.5,Y,m,insects,unknown,,,
WA,Watson,1,creek chub,8,WA-S18-212-9,86,90,8,Y,,,,,,
WA,Watson,MT2,creek chub,1,WA-S18-212-MT-1,94,110,10.5,N,,,,,,
WA,Watson,MT2,creek chub,2,WA-S18-212-MT-2,80,83,7.5,N,,,,,,
WA,Watson,MT2,creek chub,3,WA-S18-212-MT-3,88,95,9,N,,,,,,
WA,Watson,MT2,creek chub,4,WA-S18-212-MT-4,106,112,16.5,N,,,,,,
WA,Watson,MT2,creek chub,5,WA-S18-212-MT-5,85,91,7.5,N,,,,,,
WA,Watson,MT2,creek chub,6,WA-S18-212-MT-6,96,102,12,N,,,,,,
WA,Watson,MT2,creek chub,7,WA-S18-212-MT-7,87,93,9.5,N,,,,stange silver spot on back,,
WA,Watson,MT2,creek chub,8,WA-S18-212-MT-8,86,92,8.5,N,,,,,,
WA,Watson,MT2,creek chub,9,WA-S18-212-MT-9,141,149,34.5,N,,,,,,
JW,White,MT2,creek chub,1,JW-S18-212-MT1,130,148,29.5,N,,,,,,
JW,White,MT2,creek chub,2,JW-S18-212-MT2,99,103,12,N,,,,,,
JW,White,MT2,creek chub,3,JW-S18-212-MT3,127,130,25,N,,,,,,
JW,White,MT2,creek chub,4,JW-S18-212-MT4,86,89,8,N,,,,,,
JW,White,1,creek chub,1,JW-S18-212-1,75,79,6,Y,M,"INSECTS, DET",,,,
JW,White,1,creek chub,2,JW-S18-212-2,39,42,0.5,N,,,,,,
JW,White,1,creek chub,3,JW-S18-212-3,35,38,0.5,N,,,,,,
JW,White,1,creek chub,4,JW-S18-212-4,46,49,1,Y,I,DET,,,,
JW,White,1,creek chub,5,JW-S18-212-5,35,38,0.5,N,,,,,,
JW,White,1,creek chub,6,JW-S18-212-6,41,44,1,Y,I,INSECTS,,,,
JW,White,1,creek chub,7,JW-S18-212-7,86,93,8.5,Y,M,"ALGAE, DET",,,,
JW,White,1,creek chub,8,JW-S18-212-8,50,54,1.5,Y,I,"PARASITES, DET, INSECTS",,,,
JW,White,1,creek chub,9,JW-S18-212-9,25,26,0.3,N,,,,,,
JW,White,1,creek chub,10,JW-S18-212-10,24,26,0.3,N,,,,,,
JW,White,2,creek chub,11,JW-S18-212-11,89,94,8.5,Y,M,"ALGAE, LARGE INSECT",,,,
JW,White,2,creek chub,12,JW-S18-212-12,132,140,26,Y,F,"ALGAE, STONE, DET, INSECTS",,,,
JW,White,2,creek chub,13,JW-S18-212-13,35,38,0.5,N,,,,,,
JW,White,2,creek chub,14,JW-S18-212-14,140,150,33,Y,M,HUNGRY/EMPTY,,,,
JW,White,2,creek chub,15,JW-S18-212-15,42,45,1,N,,,,,,
JW,White,2,creek chub,15,JW-S18-212-15,127,135,24,Y,M,ALGAE,,,,
JW,White,2,creek chub,16,JW-S18-212-16,134,142,29,Y,M,ALGAE,,,,
JW,White,2,creek chub,17,JW-S18-212-17,134,143,31,Y,M,EMPTY,,,,
JW,White,2,creek chub,18,JW-S18-212-18,104,112,15,Y,F,DETRITUS,,,,
JW,White,2,creek chub,19,JW-S18-212-19,91,96,10,Y,M,DETRITUS,,,,
JW,White,2,creek chub,20,JW-S18-212-20,80,86,6.5,Y,M,"ALGAE, INSECTS, DETRITUS",,,,
JW,White,2,creek chub,21,JW-S18-212-21,76,81,6,Y,M,"ALGAE, INSECTS",,,,
JW,White,2,creek chub,22,JW-S18-212-22,90,95,9.5,Y,I,DETRITUS,,,,
JW,White,2,creek chub,23,JW-S18-212-23,64,70,4,Y,M,INSECTS,,,,
JW,White,3,creek chub,24,JW-S18-212-24,127,136,24,Y,F,"ALGAE, 2 JDS",,,,
JW,White,3,creek chub,25,JW-S18-212-25,171,182,54.5,Y,M,CRAYFISH,,,,
JW,White,3,creek chub,26,JW-S18-212-26,163,172,52.5,Y,M,"ALGAE, CRAYFISH",,,,
JW,White,3,creek chub,27,JW-S18-212-27,145,155,40,Y,F,~10CM BSD,,,,
JW,White,3,creek chub,28,JW-S18-212-28,74,78,5,N,,,,,,
JW,White,3,creek chub,29,JW-S18-212-29,55,59,2,N,,,,,,
JW,White,3,creek chub,30,JW-S18-212-30,83,88,7,N,,,,,,
JW,White,3,creek chub,31,JW-S18-212-31,87,91,8,N,,,,,,
JW,White,3,creek chub,31,JW-S18-212-32,50,53,1.5,N,,,,,,
