old sampleid,sampleid,sitename,sitecode,species,role,delta2h,ampl,p_h
BS-S18-CADDIS-1,BS-S18-CADDIS-1,Stewart Farm,BS,caddisfly,aqbase,-113.25,4873,6.5
BS-S18-CADDIS-2,BS-S18-CADDIS-2,Stewart Farm,BS,caddisfly,aqbase,-98.74,4872,6.3
BS-S18-DET-1,BS-S18-DET-1,Stewart Farm,BS,detritus,det,-117.9,3768,2.6
BS-S18-DET-2,BS-S18-DET-2,Stewart Farm,BS,detritus,det,-115.32,3610,2.9
BS-S18-DET-3,BS-S18-DET-3,Stewart Farm,BS,detritus,det,-115.52,3637,2.8
BS-S18-GOL-1,BS-S18-GOL-1,Stewart Farm,BS,goldenrod,terpp,-95.61,4183,5.6
BS-S18-GOL-2,BS-S18-GOL-2,Stewart Farm,BS,goldenrod,terpp,-97.84,5069,5.7
BS-S18-GOL-3,BS-S18-GOL-3,Stewart Farm,BS,goldenrod,terpp,-97.47,5206,5.7
BS-S18-TRB-1,BS-S18-TRB-1,Stewart Farm,BS,caterpillar,terbase,-104.1,6384,6.6
BS-S18-TRB-2,BS-S18-TRB-2,Stewart Farm,BS,caterpillar,terbase,-106.92,5378,6.5
BS-S18-TRB-3,BS-S18-TRB-3,Stewart Farm,BS,caterpillar,terbase,-105.31,5782,7
BW-S18-163-3,BW-S18-163-3,Backus Woods,BW,white sucker,detritivore,-110.43,14687,6.9
BW-S18-212-1,BW-S18-212-1,Backus Woods,BW,creek chub,cc,-91.04,14581,6.7
BW-S18-212-2,BW-S18-212-2,Backus Woods,BW,creek chub,cc,-92.81,16641,6.8
BW-S18-341-2,BW-S18-341-2,Backus Woods,BW,johnny darter,invertivore,-107.66,16273,7
BW-S18-ALG-1,BW-S18-ALG-1,Backus Woods,BW,algae,algae,-187.63,28224,5.1
BW-S18-ALG-2,BW-S18-ALG-2,Backus Woods,BW,algae,algae,-182.68,6896,5.2
BW-S18-ALG-3,BW-S18-ALG-3,Backus Woods,BW,algae,algae,-169.18,22254,5
BW-S18-CATERPILLAR-1,BW-S18-CATERPILLAR-1,Backus Woods,BW,caterpillar,terbase,-108.67,16055,7
BW-S18-CATERPILLAR-2,BW-S18-CATERPILLAR-2,Backus Woods,BW,caterpillar,terbase,-114.63,19446,7.6
BW-S18-DET-1,BW-S18-DET-1,Backus Woods,BW,detritus,det,-80.02,18351,4.3
BW-S18-DET-2,BW-S18-DET-2,Backus Woods,BW,detritus,det,-103.58,23791,4.8
BW-S18-DET-3,BW-S18-DET-3,Backus Woods,BW,detritus,det,-105.18,19942,4.4
BW-S18-GOL-1,BW-S18-GOL-1,Backus Woods,BW,goldenrod,terpp,-115.43,15287,5.7
BW-S18-GOL-2,BW-S18-GOL-2,Backus Woods,BW,goldenrod,terpp,-115.62,15100,5.5
BW-S18-MAYFLY-1,BW-S18-MAYFLY-1,Backus Woods,BW,mayfly,aqbase,-107.72,17493,5.9
BW-S18-MAYFLY-2,BW-S18-MAYFLY-2,Backus Woods,BW,mayfly,aqbase,-95.71,721,5.6
BW-S18-SNAIL,BW-S18-SNAIL,Backus Woods,BW,european garden snail,terbase,-78.62,19892,6.6
DE-S18-163-4,DE-S18-163-4,Dedrick's Creek,DE,white sucker,detritivore,-109.57,26638,6.8
DE-S18-212-1,DE-S18-212-1,Dedrick's Creek,DE,creek chub,cc,-99.11,22025,5.8
DE-S18-212-11,DE-S18-212-11,Dedrick's Creek,DE,creek chub,cc,-105.25,24643,6.4
DE-S18-212-12,DE-S18-212-12,Dedrick's Creek,DE,creek chub,cc,-101.48,26571,6.8
DE-S18-212-15,DE-S18-212-15,Dedrick's Creek,DE,creek chub,cc,-108.09,23776,6.8
DE-S18-212-2,DE-S18-212-2,Dedrick's Creek,DE,creek chub,cc,-104.76,24821,6.7
DE-S18-212-3,DE-S18-212-3,Dedrick's Creek,DE,creek chub,cc,-120.08,21978,6.6
DE-S18-212-4,DE-S18-212-4,Dedrick's Creek,DE,creek chub,cc,-111.97,24394,7
DE-S18-212-5,DE-S18-212-5,Dedrick's Creek,DE,creek chub,cc,-99.59,25584,6.7
DE-S18-212-6,DE-S18-212-6,Dedrick's Creek,DE,creek chub,cc,-105.46,25377,6.6
DE-S18-212-7,DE-S18-212-7,Dedrick's Creek,DE,creek chub,cc,-97.93,22749,6.5
DE-S18-341-19,DE-S18-341-19,Dedrick's Creek,DE,johnny darter,invertivore,-115.07,23218,6.2
DE-S18-ALG-1,DE-S18-ALG-1,Dedrick's Creek,DE,algae,algae,-142.48,26385,1.8
DE-S18-ALG-2,DE-S18-ALG-2,Dedrick's Creek,DE,algae,algae,-132.38,12679,0.8
DE-S18-CAT-1,DE-S18-CAT-1,Dedrick's Creek,DE,caterpillar,terbase,-101.71,23773,6.7
DE-S18-CAT-2,DE-S18-CAT-2,Dedrick's Creek,DE,caterpillar,terbase,-103.19,20777,6.6
DE-S18-CAT-3,DE-S18-CAT-3,Dedrick's Creek,DE,caterpillar,terbase,-98.52,25848,6.7
DE-S18-DET-1,DE-S18-DET-1,Dedrick's Creek,DE,detritus,det,-107.86,27180,3.7
DE-S18-DET-2,DE-S18-DET-2,Dedrick's Creek,DE,detritus,det,-108.49,29612,3.9
DE-S18-DET-3,DE-S18-DET-3,Dedrick's Creek,DE,detritus,det,-108.08,27348,4
DE-S18-GOL-1,DE-S18-GOL-1,Dedrick's Creek,DE,goldenrod,terpp,-143.13,21131,5.7
DE-S18-GOL-2,DE-S18-GOL-2,Dedrick's Creek,DE,goldenrod,terpp,-144.1,23295,5.7
DE-S18-GOL-3,DE-S18-GOL-3,Dedrick's Creek,DE,goldenrod,terpp,-146.56,22542,6
EP1-S18-163-4,EP1-S18-163-4,Perl 1,EP1,white sucker,detritivore,-119.27,16270,6.6
EP1-S18-165-3,EP1-S18-165-3,Perl 1,EP1,northern hog sucker,herbivore,-115.43,17341,6.8
EP1-S18-212-13,EP1-S18-212-13,Perl 1,EP1,creek chub,cc,-96.42,16374,6.8
EP1-S18-212-14,EP1-S18-212-14,Perl 1,EP1,creek chub,cc,-90.69,16366,6.6
EP1-S18-212-19,EP1-S18-212-19,Perl 1,EP1,creek chub,cc,-96.73,13556,6.7
EP1-S18-212-20,EP1-S18-212-20,Perl 1,EP1,creek chub,cc,-96.97,16180,6.7
EP1-S18-212-22,EP1-S18-212-22,Perl 1,EP1,creek chub,cc,-95.65,17164,7
EP1-S18-212-25,EP1-S18-212-25,Perl 1,EP1,creek chub,cc,-103.05,14127,6.7
EP1-S18-212-27,EP1-S18-212-27,Perl 1,EP1,creek chub,cc,-91.77,14426,6.5
EP1-S18-212-29,EP1-S18-212-29,Perl 1,EP1,creek chub,cc,-104.89,15496,7
EP1-S18-212-31,EP1-S18-212-31,Perl 1,EP1,creek chub,cc,-98.12,17286,6.7
EP1-S18-212-32,EP1-S18-212-32,Perl 1,EP1,creek chub,cc,-106.34,15580,6.5
EP1-S18-341-11,EP1-S18-341-11,Perl 1,EP1,johnny darter,invertivore,-108.73,16122,6.7
EP1-S18-ALG-1,EP1-S18-ALG-1,Perl 1,EP1,algae,algae,-107,9546,2.4
