old sampleid,sampleid,replicate,sitecode,species,role,delta13c,delta15n,c_n_ratio
BG-S18-ALGAE-3 C,BG-S18-ALGAE-3 C,1,BG,algae,algae,-24.482,4.293,19.15395518
BG-S18-ALGAE-3,BG-S18-ALGAE-3,0,BG,algae,algae,-24.55433333,4.318666667,19.17320434
BG-S18-CAT-1,BG-S18-CAT-1,0,BG,caterpillar,terbase,-29.64539509,1.148929031,6.008376307
BG-S18-CAT-2,BG-S18-CAT-2,0,BG,caterpillar,terbase,-29.299,1.577,5.889858339
BG-S18-CAT-3,BG-S18-CAT-3,0,BG,caterpillar,terbase,-29.5,1.168,5.881944283
BG-S18-DETRITUS-1,BG-S18-DETRITUS-1,0,BG,detritus,det,-27.328,2,26.11853561
BG-S18-DETRITUS-2,BG-S18-DETRITUS-2,0,BG,detritus,det,-27.385,2.131,26.66517605
BG-S18-DETRITUS-3,BG-S18-DETRITUS-3,0,BG,detritus,det,-27.375,1.856,25.82059871
BG-S18-GOL-1,BG-S18-GOL-1,0,BG,goldenrod,terpp,-34.72737901,-2.121730029,16.26197761
BG-S18-GOLDENROD-2,BG-S18-GOL-2,0,BG,goldenrod,terpp,-34.104,-0.732,16.72911022
BG-S18-GOLDENROD-3,BG-S18-GOL-3,0,BG,goldenrod,terpp,-34.154,-0.692,17.05502929
